,word,qt_vogais,qt_consoantes,1,2,3,4,5,fl_digrafo,fl_encontro_vogais
0,aarao,4,1,a,a,r,a,o,0,0
1,abaco,3,2,a,b,a,c,o,0,0
2,abade,3,2,a,b,a,d,e,0,0
3,abafa,3,2,a,b,a,f,a,0,0
4,abafe,3,2,a,b,a,f,e,0,0
5,abafo,3,2,a,b,a,f,o,0,0
6,abala,3,2,a,b,a,l,a,0,0
7,abale,3,2,a,b,a,l,e,0,0
8,abalo,3,2,a,b,a,l,o,0,0
9,abana,3,2,a,b,a,n,a,0,0
10,abane,3,2,a,b,a,n,e,0,0
11,abano,3,2,a,b,a,n,o,0,0
12,abata,3,2,a,b,a,t,a,0,0
13,abate,3,2,a,b,a,t,e,0,0
14,abati,3,2,a,b,a,t,i,0,0
15,abato,3,2,a,b,a,t,o,0,0
16,abeto,3,2,a,b,e,t,o,0,0
17,ablua,3,2,a,b,l,u,a,0,1
18,ablui,3,2,a,b,l,u,i,0,1
19,abluo,3,2,a,b,l,u,o,0,1
20,abner,2,3,a,b,n,e,r,0,0
21,abole,3,2,a,b,o,l,e,0,0
22,aboli,3,2,a,b,o,l,i,0,0
23,abono,3,2,a,b,o,n,o,0,0
24,abram,2,3,a,b,r,a,m,0,0
25,abras,2,3,a,b,r,a,s,0,0
26,abrem,2,3,a,b,r,e,m,0,0
27,abres,2,3,a,b,r,e,s,0,0
28,abreu,3,2,a,b,r,e,u,0,1
29,abria,3,2,a,b,r,i,a,0,1
30,abril,2,3,a,b,r,i,l,0,0
31,abrir,2,3,a,b,r,i,r,0,0
32,abris,2,3,a,b,r,i,s,0,0
33,abriu,3,2,a,b,r,i,u,0,1
34,abste,2,3,a,b,s,t,e,0,0
35,abusa,3,2,a,b,u,s,a,0,0
36,abuse,3,2,a,b,u,s,e,0,0
37,abuso,3,2,a,b,u,s,o,0,0
38,acaba,3,2,a,c,a,b,a,0,0
39,acabe,3,2,a,c,a,b,e,0,0
40,acabo,3,2,a,c,a,b,o,0,0
41,acaia,4,1,a,c,a,i,a,0,2
42,acaro,3,2,a,c,a,r,o,0,0
43,acaso,3,2,a,c,a,s,o,0,0
44,acata,3,2,a,c,a,t,a,0,0
45,acate,3,2,a,c,a,t,e,0,0
46,acato,3,2,a,c,a,t,o,0,0
47,acena,3,2,a,c,e,n,a,0,0
48,acene,3,2,a,c,e,n,e,0,0
49,aceno,3,2,a,c,e,n,o,0,0
50,acesa,3,2,a,c,e,s,a,0,0
51,aceso,3,2,a,c,e,s,o,0,0
52,aceto,3,2,a,c,e,t,o,0,0
53,achai,3,2,a,c,h,a,i,1,1
54,acham,2,3,a,c,h,a,m,1,0
55,achar,2,3,a,c,h,a,r,1,0
56,achas,2,3,a,c,h,a,s,1,0
57,achei,3,2,a,c,h,e,i,1,1
58,achem,2,3,a,c,h,e,m,1,0
59,aches,2,3,a,c,h,e,s,1,0
60,achou,3,2,a,c,h,o,u,1,1
61,acida,3,2,a,c,i,d,a,0,0
62,acido,3,2,a,c,i,d,o,0,0
63,acima,3,2,a,c,i,m,a,0,0
64,acker,2,3,a,c,k,e,r,0,0
65,acode,3,2,a,c,o,d,e,0,0
66,acoes,3,2,a,c,o,e,s,0,1
67,acola,3,2,a,c,o,l,a,0,0
68,acuai,4,1,a,c,u,a,i,0,2
69,acuam,3,2,a,c,u,a,m,0,1
70,acuar,3,2,a,c,u,a,r,0,1
71,acuas,3,2,a,c,u,a,s,0,1
72,acuda,3,2,a,c,u,d,a,0,0
73,acude,3,2,a,c,u,d,e,0,0
74,acudi,3,2,a,c,u,d,i,0,0
75,acudo,3,2,a,c,u,d,o,0,0
76,acuei,4,1,a,c,u,e,i,0,2
77,acuem,3,2,a,c,u,e,m,0,1
78,acues,3,2,a,c,u,e,s,0,1
79,acuou,4,1,a,c,u,o,u,0,2
80,acusa,3,2,a,c,u,s,a,0,0
81,acuse,3,2,a,c,u,s,e,0,0
82,acuso,3,2,a,c,u,s,o,0,0
83,adaga,3,2,a,d,a,g,a,0,0
84,adega,3,2,a,d,e,g,a,0,0
85,adere,3,2,a,d,e,r,e,0,0
86,aderi,3,2,a,d,e,r,i,0,0
87,adeus,3,2,a,d,e,u,s,0,1
88,adiai,4,1,a,d,i,a,i,0,2
89,adiam,3,2,a,d,i,a,m,0,1
90,adiar,3,2,a,d,i,a,r,0,1
91,adias,3,2,a,d,i,a,s,0,1
92,adida,3,2,a,d,i,d,a,0,0
93,adido,3,2,a,d,i,d,o,0,0
94,adiei,4,1,a,d,i,e,i,0,2
95,adiem,3,2,a,d,i,e,m,0,1
96,adies,3,2,a,d,i,e,s,0,1
97,adimo,3,2,a,d,i,m,o,0,0
98,adiou,4,1,a,d,i,o,u,0,2
99,adira,3,2,a,d,i,r,a,0,0
100,adiro,3,2,a,d,i,r,o,0,0
101,adita,3,2,a,d,i,t,a,0,0
102,adite,3,2,a,d,i,t,e,0,0
103,adito,3,2,a,d,i,t,o,0,0
104,adoca,3,2,a,d,o,c,a,0,0
105,adoce,3,2,a,d,o,c,e,0,0
106,adoco,3,2,a,d,o,c,o,0,0
107,adora,3,2,a,d,o,r,a,0,0
108,adore,3,2,a,d,o,r,e,0,0
109,adoro,3,2,a,d,o,r,o,0,0
110,adota,3,2,a,d,o,t,a,0,0
111,adote,3,2,a,d,o,t,e,0,0
112,adoto,3,2,a,d,o,t,o,0,0
113,aduba,3,2,a,d,u,b,a,0,0
114,adube,3,2,a,d,u,b,e,0,0
115,adubo,3,2,a,d,u,b,o,0,0
116,adula,3,2,a,d,u,l,a,0,0
117,adule,3,2,a,d,u,l,e,0,0
118,adulo,3,2,a,d,u,l,o,0,0
119,advem,2,3,a,d,v,e,m,0,0
120,advim,2,3,a,d,v,i,m,0,0
121,advir,2,3,a,d,v,i,r,0,0
122,aecio,4,1,a,e,c,i,o,0,2
123,aerea,4,1,a,e,r,e,a,0,2
124,aereo,4,1,a,e,r,e,o,0,1
125,afaga,3,2,a,f,a,g,a,0,0
126,afago,3,2,a,f,a,g,o,0,0
127,afana,3,2,a,f,a,n,a,0,0
128,afane,3,2,a,f,a,n,e,0,0
129,afano,3,2,a,f,a,n,o,0,0
130,afega,3,2,a,f,e,g,a,0,0
131,afere,3,2,a,f,e,r,e,0,0
132,aferi,3,2,a,f,e,r,i,0,0
133,afeta,3,2,a,f,e,t,a,0,0
134,afete,3,2,a,f,e,t,e,0,0
135,afeto,3,2,a,f,e,t,o,0,0
136,afiai,4,1,a,f,i,a,i,0,2
137,afiam,3,2,a,f,i,a,m,0,1
138,afiar,3,2,a,f,i,a,r,0,1
139,afias,3,2,a,f,i,a,s,0,1
140,afiei,4,1,a,f,i,e,i,0,2
141,afiem,3,2,a,f,i,e,m,0,1
142,afies,3,2,a,f,i,e,s,0,1
143,afina,3,2,a,f,i,n,a,0,0
144,afine,3,2,a,f,i,n,e,0,0
145,afino,3,2,a,f,i,n,o,0,0
146,afins,2,3,a,f,i,n,s,0,0
147,afiou,4,1,a,f,i,o,u,0,2
148,afira,3,2,a,f,i,r,a,0,0
149,afiro,3,2,a,f,i,r,o,0,0
150,afixa,3,2,a,f,i,x,a,0,0
151,afixe,3,2,a,f,i,x,e,0,0
152,afixo,3,2,a,f,i,x,o,0,0
153,aflua,3,2,a,f,l,u,a,0,1
154,aflui,3,2,a,f,l,u,i,0,1
155,afluo,3,2,a,f,l,u,o,0,1
156,afoba,3,2,a,f,o,b,a,0,0
157,afobe,3,2,a,f,o,b,e,0,0
158,afobo,3,2,a,f,o,b,o,0,0
159,afofa,3,2,a,f,o,f,a,0,0
160,afofe,3,2,a,f,o,f,e,0,0
161,afofo,3,2,a,f,o,f,o,0,0
162,afoga,3,2,a,f,o,g,a,0,0
163,afogo,3,2,a,f,o,g,o,0,0
164,afora,3,2,a,f,o,r,a,0,0
165,afore,3,2,a,f,o,r,e,0,0
166,aforo,3,2,a,f,o,r,o,0,0
167,afros,2,3,a,f,r,o,s,0,0
168,aftas,2,3,a,f,t,a,s,0,0
169,agape,3,2,a,g,a,p,e,0,0
170,agata,3,2,a,g,a,t,a,0,0
171,ageis,3,2,a,g,e,i,s,0,1
172,agiam,3,2,a,g,i,a,m,0,1
173,agias,3,2,a,g,i,a,s,0,1
174,agido,3,2,a,g,i,d,o,0,0
175,agimo,3,2,a,g,i,m,o,0,0
176,agios,3,2,a,g,i,o,s,0,1
177,agira,3,2,a,g,i,r,a,0,0
178,agita,3,2,a,g,i,t,a,0,0
179,agite,3,2,a,g,i,t,e,0,0
180,agito,3,2,a,g,i,t,o,0,0
181,agora,3,2,a,g,o,r,a,0,0
182,aguai,4,1,a,g,u,a,i,1,2
183,aguam,3,2,a,g,u,a,m,1,1
184,aguar,3,2,a,g,u,a,r,1,1
185,aguas,3,2,a,g,u,a,s,1,1
186,aguca,3,2,a,g,u,c,a,1,0
187,aguce,3,2,a,g,u,c,e,1,0
188,aguco,3,2,a,g,u,c,o,1,0
189,aguda,3,2,a,g,u,d,a,1,0
190,agudo,3,2,a,g,u,d,o,1,0
191,aguei,4,1,a,g,u,e,i,1,2
192,aguem,3,2,a,g,u,e,m,1,1
193,agues,3,2,a,g,u,e,s,1,1
194,aguia,4,1,a,g,u,i,a,1,2
195,aguou,4,1,a,g,u,o,u,1,2
196,ainda,3,2,a,i,n,d,a,0,1
197,aires,3,2,a,i,r,e,s,0,1
198,aires,3,2,a,i,r,e,s,0,1
199,ajais,3,2,a,j,a,i,s,0,1
200,ajamo,3,2,a,j,a,m,o,0,0
201,ajuda,3,2,a,j,u,d,a,0,0
202,ajude,3,2,a,j,u,d,e,0,0
203,ajudo,3,2,a,j,u,d,o,0,0
204,alada,3,2,a,l,a,d,a,0,0
205,alado,3,2,a,l,a,d,o,0,0
206,alaga,3,2,a,l,a,g,a,0,0
207,alago,3,2,a,l,a,g,o,0,0
208,alair,3,2,a,l,a,i,r,0,1
209,alamo,3,2,a,l,a,m,o,0,0
210,album,2,3,a,l,b,u,m,0,0
211,alcai,3,2,a,l,c,a,i,0,1
212,alcam,2,3,a,l,c,a,m,0,0
213,alcar,2,3,a,l,c,a,r,0,0
214,alcas,2,3,a,l,c,a,s,0,0
215,alcei,3,2,a,l,c,e,i,0,1
216,alcem,2,3,a,l,c,e,m,0,0
217,alces,2,3,a,l,c,e,s,0,0
218,alceu,3,2,a,l,c,e,u,0,1
219,alcou,3,2,a,l,c,o,u,0,1
220,aldea,3,2,a,l,d,e,a,0,1
221,alega,3,2,a,l,e,g,a,0,0
222,alego,3,2,a,l,e,g,o,0,0
223,alema,3,2,a,l,e,m,a,0,0
224,algas,2,3,a,l,g,a,s,0,0
225,algol,2,3,a,l,g,o,l,0,0
226,algoz,2,3,a,l,g,o,z,0,0
227,algum,2,3,a,l,g,u,m,1,0
228,alhea,3,2,a,l,h,e,a,1,1
229,alhos,2,3,a,l,h,o,s,1,0
230,aliai,4,1,a,l,i,a,i,0,2
231,aliam,3,2,a,l,i,a,m,0,1
232,aliar,3,2,a,l,i,a,r,0,1
233,alias,3,2,a,l,i,a,s,0,1
234,alibi,3,2,a,l,i,b,i,0,0
235,aliei,4,1,a,l,i,e,i,0,2
236,aliem,3,2,a,l,i,e,m,0,1
237,alies,3,2,a,l,i,e,s,0,1
